Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,,#indicator+name,,,,#date+year,,,#indicator+type,#indicator+value+num,
IDN,1991-01-01,1991-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,7.880000,I
IDN,1992-01-01,1992-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,8.230000,I
IDN,1993-01-01,1993-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,7.680000,I
IDN,1994-01-01,1994-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,9.760000,I
IDN,1995-01-01,1995-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,11.700000,I
IDN,1996-01-01,1996-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,12.030000,I
IDN,1997-01-01,1997-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,13.520000,I
IDN,1998-01-01,1998-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,23.470000,I
IDN,1999-01-01,1999-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,30.330000,I
IDN,2000-01-01,2000-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,26.720000,I
IDN,2001-01-01,2001-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,28.780000,I
IDN,2002-01-01,2002-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,30.800000,I
IDN,2003-01-01,2003-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,31.950000,I
IDN,2004-01-01,2004-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,32.100000,I
IDN,2005-01-01,2005-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,31.850000,I
IDN,2006-01-01,2006-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,38.840000,I
IDN,2007-01-01,2007-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,47.050000,I
IDN,2008-01-01,2008-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2008,2008,7021,Annual value,,55.940000,I
IDN,2009-01-01,2009-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2009,2009,7021,Annual value,,60.080000,I
IDN,2010-01-01,2010-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2010,2010,7021,Annual value,,76.610000,I
IDN,2011-01-01,2011-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2011,2011,7021,Annual value,,82.880000,I
IDN,2012-01-01,2012-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2012,2012,7021,Annual value,,86.270000,I
IDN,2013-01-01,2013-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2013,2013,7021,Annual value,,91.940000,I
IDN,2014-01-01,2014-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2014,2014,7021,Annual value,,98.680000,I
IDN,2015-01-01,2015-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2015,2015,7021,Annual value,,99.470000,I
IDN,2016-01-01,2016-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2016,2016,7021,Annual value,,101.860000,I
IDN,2017-01-01,2017-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2017,2017,7021,Annual value,,104.490000,I
IDN,2018-01-01,2018-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2018,2018,7021,Annual value,,107.780000,I
IDN,2019-01-01,2019-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2019,2019,7021,Annual value,,113.740000,I
IDN,2020-01-01,2020-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2020,2020,7021,Annual value,,114.090000,I
IDN,2021-01-01,2021-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2021,2021,7021,Annual value,,111.590000,I
IDN,2022-01-01,2022-12-31,101,'360,Indonesia,809,'01929.07,"Abaca, manila hemp, raw",5539,Producer Price Index (2014-2016 = 100),2022,2022,7021,Annual value,,120.930000,I
IDN,2011-01-01,2011-12-31,101,'360,Indonesia,226,'01379.01,Areca nuts,5530,Producer Price (LCU/tonne),2011,2011,7021,Annual value,LCU,4302270.000000,A
IDN,2012-01-01,2012-12-31,101,'360,Indonesia,226,'01379.01,Areca nuts,5530,Producer Price (LCU/tonne),2012,2012,7021,Annual value,LCU,4065150.000000,A
IDN,2012-01-01,2012-01-31,101,'360,Indonesia,226,'01379.01,Areca nuts,5530,Producer Price (LCU/tonne),2012,2012,7001,January,LCU,4118110.000000,A
IDN,2012-02-01,2012-02-29,101,'360,Indonesia,226,'01379.01,Areca nuts,5530,Producer Price (LCU/tonne),2012,2012,7002,February,LCU,4057930.000000,A
IDN,2012-03-01,2012-03-31,101,'360,Indonesia,226,'01379.01,Areca nuts,5530,Producer Price (LCU/tonne),2012,2012,7003,March,LCU,4132810.000000,A
IDN,2012-04-01,2012-04-30,101,'360,Indonesia,226,'01379.01,Areca nuts,5530,Producer Price (LCU/tonne),2012,2012,7004,April,LCU,4089450.000000,A
IDN,2012-05-01,2012-05-31,101,'360,Indonesia,226,'01379.01,Areca nuts,5530,Producer Price (LCU/tonne),2012,2012,7005,May,LCU,4100060.000000,A
IDN,2012-06-01,2012-06-30,101,'360,Indonesia,226,'01379.01,Areca nuts,5530,Producer Price (LCU/tonne),2012,2012,7006,June,LCU,4183950.000000,A
IDN,2012-07-01,2012-07-31,101,'360,Indonesia,226,'01379.01,Areca nuts,5530,Producer Price (LCU/tonne),2012,2012,7007,July,LCU,4127250.000000,A
